Ignore mate,gnome,e17 and games packages.
İsim: sdlmame, sürüm: 0.150, yayım: 1
İsim: secure-delete, sürüm: 3.1, yayım: 1
İsim: serd, sürüm: 0.18.2, yayım: 1
İsim: serd-devel, sürüm: 0.18.2, yayım: 1
İsim: serf, sürüm: 1.3.3, yayım: 1
İsim: serf-devel, sürüm: 1.3.3, yayım: 1
İsim: series60-remote, sürüm: 0.4.0, yayım: 1
İsim: setserial, sürüm: 2.17, yayım: 1
İsim: sg3_utils, sürüm: 1.34, yayım: 1
İsim: sg3_utils-devel, sürüm: 1.34, yayım: 1
İsim: sgml-common, sürüm: 0.6.3, yayım: 1
İsim: shared-color-targets, sürüm: 0.1.3, yayım: 1
İsim: sharutils, sürüm: 4.11.1, yayım: 1
İsim: shntool, sürüm: 3.0.10, yayım: 1
İsim: shorten, sürüm: 3.6.1, yayım: 1
İsim: skanlite, sürüm: 0.9, yayım: 1
İsim: skey, sürüm: 1.1.5, yayım: 1
İsim: skey-devel, sürüm: 1.1.5, yayım: 1
İsim: slf4j, sürüm: 1.6.1, yayım: 1
İsim: slf4j-docs, sürüm: 1.6.1, yayım: 1
İsim: slim, sürüm: 1.3.6, yayım: 1
İsim: smartmontools, sürüm: 6.0, yayım: 1
İsim: smbldap-tools, sürüm: 0.9.9, yayım: 1
İsim: smc-music, sürüm: 4.1, yayım: 1
İsim: smillaenlarger, sürüm: 0.9.0, yayım: 1
İsim: smolt, sürüm: 1.4.2.2, yayım: 1
İsim: smp_utils, sürüm: 0.98, yayım: 1
İsim: smtube, sürüm: 1.8, yayım: 1
İsim: smw, sürüm: 1.7, yayım: 1
İsim: snack, sürüm: 2.2.10, yayım: 1
İsim: snakefood, sürüm: 1.4_20121118, yayım: 1
İsim: snes9x, sürüm: 1.5.3, yayım: 1
İsim: snort, sürüm: 2.9.5.3, yayım: 1
İsim: snort-devel, sürüm: 2.9.5.3, yayım: 1
İsim: sofia-sip, sürüm: 1.12.11, yayım: 1
İsim: sofia-sip-devel, sürüm: 1.12.11, yayım: 1
İsim: sonata, sürüm: 1.6.2.1, yayım: 1
İsim: soundtouch, sürüm: 1.5.0, yayım: 1
İsim: soundtouch-devel, sürüm: 1.5.0, yayım: 1
İsim: speech-dispatcher, sürüm: 0.7.1, yayım: 1
İsim: speech-dispatcher-devel, sürüm: 0.7.1, yayım: 1
İsim: speed-dreams, sürüm: 2.0.0, yayım: 1
İsim: speed-dreams-devel, sürüm: 2.0.0, yayım: 1
İsim: speedcrunch, sürüm: 0.10.1, yayım: 1
İsim: speedcrunch-docs, sürüm: 0.10.1, yayım: 1
İsim: speedtouch-firmware, sürüm: 3.0.1, yayım: 1
İsim: speex, sürüm: 1.2_rc1, yayım: 1
İsim: speex-32bit, sürüm: 1.2_rc1, yayım: 1
